StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q53,Q12,Q12_5_TEXT,Q10,Q13,Q13_6_TEXT,Q15,Q15_9_TEXT,Q17,Q17_4_TEXT,Q19,Q21,Q23,Q30,Q31,Q18,Q19,Q32_1,Q32_2,Q32_3,Q34_1,Q34_2,Q34_3,Q34_4,Q35,Q36
8/25/2022 13:12,8/25/2022 13:21,IP Address,136.226.67.5,100,511,TRUE,8/25/2022 13:21,R_2tKHAfG5fZiJTbj,,,,,34.0486,-118.1796,anonymous,EN,I consent to participate in this research study,START Therapeutic Coach,,18-25,Female,,White,,Hispanic/Latino of any race,,Some,Slightly knowledgeable,"Biopsychosocial Assessment Considerations- Melanie Hecker, MPA, Jill Hinton, PhD, and Jennifer McLaren, MD",Highly satisfied,,The Autism Spectrum Disorder because it goes in details about how different every level of severity is and the different needs,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,The details and different point of views,n/a
8/22/2022 13:56,8/22/2022 13:56,IP Address,66.115.66.194,11,20,FALSE,8/29/2022 13:56,R_XTH1EBOxgF5wjLz,,,,,,,anonymous,EN,I consent to participate in this research study,,,,,,,,,,,,,,,,,,,,,,,,,
8/22/2022 14:02,8/22/2022 14:04,IP Address,68.78.79.153,63,100,FALSE,8/29/2022 14:04,R_2PbvcW88GxDvaw0,,,,,,,anonymous,EN,I consent to participate in this research study,Other,Team lead,33-40,Male,,White,,Hispanic/Latino of any race,,Moderate amount,Moderately knowledgeable,"Introduction to Positive Medicine- Joan Beasley, PhD and Dan Tomasulo, PhD,Introduction to Neurodiversity- Melanie Hecker, MPA and Jennifer McLaren, MD,Culturally Competent Patient Care- Roberto Blanco, MD and Kristal Garcia, LMSW,The Lived Experience Perspective- Melanie Hecker, MPA, Susan Klick, BA, and Beth Grosso, MSW,Systems of Care for People with IDD- Jennifer McLaren, MD and Lisa Plotnick, MD,Biopsychosocial Assessment Considerations- Melanie Hecker, MPA, Jill Hinton, PhD, and Jennifer McLaren, MD,Trauma and Stressor Related Disorders- Jill Hinton, PhD and Roberto Blanco, MD,Anxiety Disorders- John Diamond, MD and Karen Weigle, PhD,Obsessive Compulsive and Related Disorders- Jill Hinton, PhD and Michael Cummings, MD,Depression and Bipolar Disorder- Jenee Lewis-Walker, PhD and Jennifer McLaren, MD,Grief and Loss in IDD - Dan Baker, PhD and Katy Stratigos, MD,Schizophrenia and Other Psychotic Disorders- Joan Beasley, PhD and Jennifer McLaren, MD",Highly satisfied,,,,,,,,,,,,
8/23/2022 10:51,8/23/2022 10:52,IP Address,68.78.79.153,63,101,FALSE,8/30/2022 10:52,R_9slUQ1qRTCmlMeB,,,,,,,anonymous,EN,I consent to participate in this research study,START Therapeutic Coach,,18-25,Other,fluid,White,,Non-Hispanic,,Moderate amount,Extremely knowledgeable,"Introduction to Positive Medicine- Joan Beasley, PhD and Dan Tomasulo, PhD,Introduction to Neurodiversity- Melanie Hecker, MPA and Jennifer McLaren, MD,Culturally Competent Patient Care- Roberto Blanco, MD and Kristal Garcia, LMSW,Fundamentals of Psychopharmacology- Jarrett Barnhill, MD,The Lived Experience Perspective- Melanie Hecker, MPA, Susan Klick, BA, and Beth Grosso, MSW,Systems of Care for People with IDD- Jennifer McLaren, MD and Lisa Plotnick, MD,Medical Assessment Considerations- Leslie Rubin, MD,Psychiatric Assessment in IDD- Dan Baker, PhD and Jennifer McLaren, MD,Biopsychosocial Assessment Considerations- Melanie Hecker, MPA, Jill Hinton, PhD, and Jennifer McLaren, MD,Trauma and Stressor Related Disorders- Jill Hinton, PhD and Roberto Blanco, MD,Anxiety Disorders- John Diamond, MD and Karen Weigle, PhD,Obsessive Compulsive and Related Disorders- Jill Hinton, PhD and Michael Cummings, MD,Depression and Bipolar Disorder- Jenee Lewis-Walker, PhD and Jennifer McLaren, MD,Grief and Loss in IDD - Dan Baker, PhD and Katy Stratigos, MD,Schizophrenia and Other Psychotic Disorders- Joan Beasley, PhD and Jennifer McLaren, MD",Highly satisfied,,,,,,,,,,,,
8/24/2022 17:04,8/24/2022 17:05,IP Address,96.74.81.141,63,89,FALSE,8/31/2022 17:05,R_vvMWYd5SkmCaOCR,,,,,,,anonymous,EN,I consent to participate in this research study,START Therapeutic Coach,,26-32,Female,,Two or more races,,Non-Hispanic,,Moderate amount,Moderately knowledgeable,"Introduction to Neurodiversity- Melanie Hecker, MPA and Jennifer McLaren, MD",Highly satisfied,,,,,,,,,,,,
9/4/2022 13:02,9/4/2022 15:02,IP Address,136.226.65.7,63,7185,FALSE,9/11/2022 15:02,R_9uhthWxeS1h0ek1,,,,,,,anonymous,EN,I consent to participate in this research study,Other,BCBA,33-40,Female,,Prefer not to say,,Hispanic/Latino of any race,,Moderate amount,Slightly knowledgeable,"Introduction to Neurodiversity- Melanie Hecker, MPA and Jennifer McLaren, MD",Satisfied,,,,,,,,,,,,
9/6/2022 11:36,9/6/2022 11:40,IP Address,68.78.79.153,63,214,FALSE,9/13/2022 11:40,R_AnwWpCZqFSMeaSR,,,,,,,anonymous,EN,I consent to participate in this research study,START Therapeutic Coach,,26-32,Female,,Other,Mexican,Hispanic/Latino of any race,,Moderate amount,Somewhat knowledgeable,"Depression and Bipolar Disorder- Jenee Lewis-Walker, PhD and Jennifer McLaren, MD",Highly satisfied,,,,,,,,,,,,
9/28/2022 12:42,9/28/2022 13:01,IP Address,64.21.221.88,63,1084,FALSE,10/5/2022 13:06,R_1cU4DD10DKP5yuh,,,,,,,anonymous,EN,I consent to participate in this research study,Other,STC Team Leader,41-50,Male,,White,,Non-Hispanic,,Moderate amount,Moderately knowledgeable,"Introduction to Neurodiversity- Melanie Hecker, MPA and Jennifer McLaren, MD,Culturally Competent Patient Care- Roberto Blanco, MD and Kristal Garcia, LMSW,The Lived Experience Perspective- Melanie Hecker, MPA, Susan Klick, BA, and Beth Grosso, MSW,Systems of Care for People with IDD- Jennifer McLaren, MD and Lisa Plotnick, MD,Medical Assessment Considerations- Leslie Rubin, MD,Psychiatric Assessment in IDD- Dan Baker, PhD and Jennifer McLaren, MD,Biopsychosocial Assessment Considerations- Melanie Hecker, MPA, Jill Hinton, PhD, and Jennifer McLaren, MD,Trauma and Stressor Related Disorders- Jill Hinton, PhD and Roberto Blanco, MD,Anxiety Disorders- John Diamond, MD and Karen Weigle, PhD,Obsessive Compulsive and Related Disorders- Jill Hinton, PhD and Michael Cummings, MD,Depression and Bipolar Disorder- Jenee Lewis-Walker, PhD and Jennifer McLaren, MD,Grief and Loss in IDD - Dan Baker, PhD and Katy Stratigos, MD,Schizophrenia and Other Psychotic Disorders- Joan Beasley, PhD and Jennifer McLaren, MD",Highly satisfied,,,,,,,,,,,,
10/4/2022 15:07,10/4/2022 15:22,IP Address,69.143.42.11,11,875,FALSE,10/11/2022 15:22,R_ZJOFFr47nPQrbBn,,,,,,,anonymous,EN,I consent to participate in this research study,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2022 11:05,10/17/2022 11:09,IP Address,64.21.221.88,100,229,TRUE,10/17/2022 11:09,R_vUleolAW6Rnet4R,,,,,38.4799,-121.4451,anonymous,EN,I consent to participate in this research study,START Therapeutic Coach,,26-32,Male,,White,,Non-Hispanic,,Moderate amount,Moderately knowledgeable,"Introduction to Neurodiversity- Melanie Hecker, MPA and Jennifer McLaren, MD,Culturally Competent Patient Care- Roberto Blanco, MD and Kristal Garcia, LMSW,The Lived Experience Perspective- Melanie Hecker, MPA, Susan Klick, BA, and Beth Grosso, MSW,Trauma and Stressor Related Disorders- Jill Hinton, PhD and Roberto Blanco, MD,Anxiety Disorders- John Diamond, MD and Karen Weigle, PhD,Obsessive Compulsive and Related Disorders- Jill Hinton, PhD and Michael Cummings, MD,Depression and Bipolar Disorder- Jenee Lewis-Walker, PhD and Jennifer McLaren, MD,Grief and Loss in IDD - Dan Baker, PhD and Katy Stratigos, MD,Schizophrenia and Other Psychotic Disorders- Joan Beasley, PhD and Jennifer McLaren, MD",Satisfied,,ASD and IDD. It felt the most informative and least redundant.,Promoting engagement in therapeutic coaching. It felt redundant and unnecessary after the previous two modules.,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,The overview of development in stages as related to IDD and ASD.,The module felt unnecessarily slow. 
10/17/2022 13:03,10/17/2022 13:08,IP Address,76.89.228.239,100,313,TRUE,10/17/2022 13:08,R_1IM260h50wxJsdu,,,,,34.0716,-118.0111,anonymous,EN,I consent to participate in this research study,START Therapeutic Coach,,26-32,Male,,Two or more races,,Non-Hispanic,,Moderate amount,Somewhat knowledgeable,"Introduction to Neurodiversity- Melanie Hecker, MPA and Jennifer McLaren, MD",Highly satisfied,,The Modules on the topic of Austism. I found it to be extensive and thorough. ,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,The general structure and model of START and what my role is.,Better audio quality. 
10/17/2022 12:14,10/17/2022 12:14,IP Address,64.21.221.88,11,15,FALSE,10/24/2022 12:14,R_2c0GGZs8K252ZxV,,,,,,,anonymous,EN,I consent to participate in this research study,,,,,,,,,,,,,,,,,,,,,,,,,
12/6/2022 10:36,12/6/2022 10:41,IP Address,136.226.67.29,100,302,TRUE,12/6/2022 10:41,R_3PRyxgNSUWe1YpW,,,,,34.024,-118.1965,anonymous,EN,I consent to participate in this research study,START Therapeutic Coach,,18-25,Non-binary,,Unknown,,Hispanic/Latino of any race,,Some,Moderately knowledgeable,"Introduction to Neurodiversity- Melanie Hecker, MPA and Jennifer McLaren, MD,Trauma and Stressor Related Disorders- Jill Hinton, PhD and Roberto Blanco, MD,Anxiety Disorders- John Diamond, MD and Karen Weigle, PhD,Obsessive Compulsive and Related Disorders- Jill Hinton, PhD and Michael Cummings, MD",Highly satisfied,,I enjoyed the modules located in the medical director study groups because of the very specific information about how diagnoses relate to everyday life.,I do not think I have one in mind but perhaps adding more trainings with people with IDD.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"The breakdown from specifics to general knowledge about IDD and all the factors that are a part of IDD.
",Perhaps be more interactive in the slides and include more folks with IDD
12/7/2022 15:00,12/7/2022 15:04,IP Address,50.229.36.154,100,208,TRUE,12/7/2022 15:04,R_3h453TUHIiIjO5r,,,,,39.6814,-104.8837,anonymous,EN,I consent to participate in this research study,START Therapeutic Coach,,18-25,Female,,White,,Hispanic/Latino of any race,,Moderate amount,Somewhat knowledgeable,"Introduction to Neurodiversity- Melanie Hecker, MPA and Jennifer McLaren, MD",Satisfied,,NA,NA,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,The language was simple and everything was thoroughly explained. ,"I would add more information on how to specifically interact and address neurodivergent people, especially for those that are neurotypical and might feel like they do not know how to do so. "
12/7/2022 14:53,12/7/2022 15:39,IP Address,107.77.212.152,100,2768,TRUE,12/7/2022 15:39,R_2fpPdVBqC4SmyHS,,,,,37.7794,-122.2178,anonymous,EN,I consent to participate in this research study,START Coordinator,,33-40,Female,,Other,Latina Americana,Hispanic/Latino of any race,,Extensive,Moderately knowledgeable,"Introduction to Neurodiversity- Melanie Hecker, MPA and Jennifer McLaren, MD,Systems of Care for People with IDD- Jennifer McLaren, MD and Lisa Plotnick, MD,Trauma and Stressor Related Disorders- Jill Hinton, PhD and Roberto Blanco, MD",Satisfied,,Introduction to Neurodiversity. ,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,I appreciate that Melanie Hecker presented the information on ASD. ,Can't think of any. 
12/9/2022 11:43,12/9/2022 11:46,IP Address,50.254.144.217,100,208,TRUE,12/9/2022 11:46,R_1GIYnx4ybIT7AcP,,,,,38.267,-122.044,anonymous,EN,I consent to participate in this research study,START Therapeutic Coach,,26-32,Female,,White,,Non-Hispanic,,Moderate amount,Moderately knowledgeable,"Introduction to Positive Medicine- Joan Beasley, PhD and Dan Tomasulo, PhD,Introduction to Neurodiversity- Melanie Hecker, MPA and Jennifer McLaren, MD",Highly satisfied,,I really enjoyed learning more about autism. I believe this is an important topic as this is something I personally have however I did learn more information that I was not aware of.,none.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,It had a lot of information that I felt like needed to be verbalized.,none
12/11/2022 11:57,12/11/2022 12:03,IP Address,23.118.111.23,100,322,TRUE,12/11/2022 12:03,R_3OoBTK0gWaVxOGV,,,,,37.7825,-122.435,anonymous,EN,I consent to participate in this research study,START Therapeutic Coach,,33-40,Female,,White,,Non-Hispanic,,Moderate amount,Somewhat knowledgeable,"Introduction to Neurodiversity- Melanie Hecker, MPA and Jennifer McLaren, MD,Biopsychosocial Assessment Considerations- Melanie Hecker, MPA, Jill Hinton, PhD, and Jennifer McLaren, MD",Highly satisfied,,The ASD training modules,The Executuve Functioning modules only because there were not many coaching strategies discussed.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Learning how to use a strengths based approach.,Discussing in more detail coaching strategies that can be used.
12/12/2022 16:55,12/12/2022 17:11,IP Address,50.213.117.197,100,990,TRUE,12/12/2022 17:11,R_wLFWz8kQ9hQJTzP,,,,,36.8243,-119.7662,anonymous,EN,I consent to participate in this research study,START Therapeutic Coach,,18-25,Male,,Prefer not to say,,Non-Hispanic,,Extensive,Somewhat knowledgeable,,Satisfied,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"How in depth the speakers went into the challenges and obstacles faced by the people we serve, and how those challenges and obstacles only exist due to the structure of our society.","N/A
"
12/8/2022 10:10,12/8/2022 10:13,IP Address,47.232.248.126,63,209,FALSE,12/15/2022 10:13,R_2xFYU7gZzxgixe5,,,,,,,anonymous,EN,I consent to participate in this research study,START Therapeutic Coach,,18-25,Female,,White,,Non-Hispanic,,Some,Somewhat knowledgeable,"Introduction to Neurodiversity- Melanie Hecker, MPA and Jennifer McLaren, MD",Highly satisfied,,,,,,,,,,,,
12/8/2022 11:02,12/8/2022 12:05,IP Address,69.26.156.9,11,3767,FALSE,12/15/2022 12:05,R_1r9stu46zV2DV35,,,,,,,anonymous,EN,I consent to participate in this research study,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/2022 16:11,12/16/2022 16:11,IP Address,50.254.144.217,100,7,TRUE,12/16/2022 16:11,R_9taGpi2VcZFmMgx,,,,,38.267,-122.044,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
1/10/2023 14:48,1/10/2023 14:51,IP Address,96.74.81.141,100,192,TRUE,1/10/2023 14:51,R_12RQpXmuZWDnflt,,,,,37.9845,-122.1355,anonymous,EN,I consent to participate in this research study,START Therapeutic Coach,,18-25,Female,,White,,Hispanic/Latino of any race,,Extensive,Moderately knowledgeable,"Introduction to Neurodiversity- Melanie Hecker, MPA and Jennifer McLaren, MD",Highly satisfied,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,The information given.,To work at a slower pace hard to keep up at times.
